Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section	Negative e.g.	Fix
279	bʹⁱlʲo:g	billeóg	feuille						
	blah	boladh	parfum						
	flɑ:ⁱnʹ	folláin	sain						
	klɑ:ʃtʹɩ	coláiste	collège	kᵊlɑ:ʃtʹɩ					
	kᵊlʹα·χ	cailleach	vieille femme						
	kᵊlʲɑ:n	coileán	chiot						
	kᵊlʹαχtə	cuileachta	compagnie						
	mᵊlaχt	mallacht	malédiction						
	pro:ⁱʃtʹɩ	paroiste	paroisse	pᵊro:ⁱʃtʹɩ					
	gʹⁱrʹɑ̃:n	gearán	plainte						
	bʹⁱrʹɑ̃:n	biorán	pointe	bʹrʹɑ̃:n					
	gʹⁱrʹαχt	giorracht	proximité						
	krɑ:ʃtʹɩ	coráiste	courage	kᵊrɑ:ʃtʹɩ					
	fʹrʹiʃtʹɩ	fuiriste	facile						
	trʌs	turus	voyage						
	tʹⁱrʹimʹ	tirim	sec						
	gvɑ:ⁱlʹtʹ	gabháil	obtenir						
	bʹᵊnaχt	beannacht	bénédiction						
	tᵊmɑ̃:ⁱnʹtʹ	tiomáint	conduire (une voiture)						
	mʹⁱnʲɑ:l	muineál	cou						
	χnᴜk	chonnac	je vis						
	fᵊnaχt	fanacht	demeurer						
	fʹⁱnʲo:g	fuinneóg	fenêtre	fʹɩnʲo:g					
280	ə trɑ̃:n	an t‑arán	le pain		pour ən tərɑ:n				
	ɩ tʹⁱraχ	an t‑earrach	le printemps						
	rʲᴜ:nəχ	oireamhnach	convenable	ɩrʲᴜ:nəχ					
	nʲo:səd	inneósad	je dirai	ɩnʲo:səd					
	kᵊlʹα·χ				le génitif du même mot kalʹi: et le dérivé kalʹi:nʹ (cailín)				
	kalʹi:								
	kalʹi:nʹ	cailín	jeune fille						
281	pərˈʃα·χ	praiseach	gruau d’avoine		dat. ˈpraʃɩgʹ (praisigh)			prˈʃα·χ	
	ˈpraʃɩgʹ	praisigh							
	bərˈdaχ	bradach	voleur, chipeur	brəˈdaχ	gén. ˈbrɑdɩgʹ (bradaigh)				
	ˈbrɑdɩgʹ	bradaigh		ˈbrɑdɩgʹ					
	bərˈdɑ̃:n	bradán	saumon						
	bərˈla·χ	brollach	giron						
	bərˈka·χ	brocach	sale	brəˈka·χ					
282	kʹαhərər	ceathrar	quatre personnes						
	kʹαrhᴜ:	ceathramha	quart	kʹαhərᴜ:					
	kɔrhəm	cothrom	commodité						
