Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
235	kʹⁱmʲɑ:d	coimeád	conserver	kəmʲɑ:d		kəmʲɑ:d	
235	mʹinʲɑ:l	muineál	eou	mʷɩnʲɑ:l			
235	fʹⁱinʲo:g	fuinneóg	fenêtre				
235	fʹrʹiʃtʹɩ	fuiriste	facile				
235	dʹrʹe:rʹ	do réir	d’après	dərʹe:rʹ´			
235	tᵊmɑ̃:ⁱnʹtʹ	tiomáint	conduire (une voiture)	tʹᵊmɑ̃:ⁱnʹtʹ			
235	bʹᵊna·χt	beannacht	bénédiction				
235	bʹⁱrʹɑ:n	biorán	aiguille				
235	gʹⁱrʹɑ̃:n	gearán	plainte				
236	tɪkʹtər	tuigtear	on comprend	tɪkʹtʹər			
236	tɪkʹfʹər	tuigfear	on comprendra				
236	hikʹfɑ:	thuigfeá	tu comprendrais				
236	hikʹfʷi:	tuigfí	on compren­drait	tɪkʹfʷi:			
236	ɑ:rdlʹᴇʃg̬ʹu:ⁱlʹ	árdleisceamhail	très paresseux				
236	ᴀᴜnçαrt	anncheart	injustice				
236	lᴀᴜmçαrt	lomcheart	droit strict		cf. le proverbe is kᴜmə no: ᴀᴜnçαrt lᴀᴜmçαrt (is cuma nó anncheart lomcheart)		
236	is kᴜmə no: ᴀᴜnçαrt lᴀᴜmçαrt	is cuma nó anncheart lomcheart	summum jus summa injuria				
236	kɔləmkʹilʹɩ	Colum Cille	Colum­cille				
236	mʷᴇ̈:ᵊlvʹrʹiʃtʹɩ	maolbhriste	brisée, qui a déferlé (en parlant d’une vague)				
236	bᴜnöʃg̬ʲᴜ:n	bun-ós-cionn	cul par dessus tête				
236	bɑ̃:ⁱnʹdʹαrəg	bándearg	rose, rouge pâle				303
237	to:kfər	tógfar	on élèvera		de to:gʷɩmʹ (tógaim)		
237	to:gʷɩmʹ	tógaim	j’élève				
237	to:ktər	tógtar	on élève				
237	krʹᴇtʹfər	creidfear	on croira		de krᴇdʹɩmʹ (creidim)		
237	krᴇdʹɩmʹ	creidim	je crois				
237	lᴜ:pfər	lúbfar	on courbera		de lᴜ:bʷɩmʹ (lúbaim)		
237	lᴜ:bʷɩmʹ	lúbaim	je courbe				
237	fɑtχəsa·χ	fadchosach	qui a de longues jambes		de fɑd- « long »		
237	ì:ag̬sᴜ:ⁱlʹ	éagsamhail	différent	ì:agsu:ⁱlʹ			
237	ʃe:tʹfᴜ:ⁱlʹ	séidfúil	saignement de nez				
237	lɑg̬sb̬rʹidʹ	lagsprid	mou, qui manque de courage	lɑgsb̬rʹidʹ			
239	hn̬ɑ̃:ⁱvʹ ʃe·	shnáimh sé	il nagea				
	mə hl̬ɑ̃:ⁱnʹtʹɩ	mo shláinte	ma santé				
	ɑnəhl̬ɑ:h	anathlàth	très affable				
	ɑnəhl̬äλⁱnʹ	anashleamhain	très glissant				
