Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2
97	fʲɑ:r	fearr	meilleur	fʲa:r		
98	gʲɑ:rkəχ	gearrcach	oison			
98	bʲo:	beó	vivant			
98	pʲᴜ:nt	pionnt	pinte			
98	bʹi:nʹ	binn	mélodieux			
98	kʹe:lʹɩ	céile	compagnon, mari			
99	ə χɑ:ⁱtʹ	a Cháit	Kate !			
99	bro:ⁱgʹ	bróig			dat. de bro:g (bróg)	
99	bro:g	bróg	soulier			
99	bro:ⁱgʹɩ	bróige				
99	kᴜ:ⁱlʹ	cúil	coin, recoin			
99	bʹrʹe:gʹɩ	bréige			gén. de bʹrʹì:ag (bréag)	
99	bʹrʹì:ag	bréag	mensonge			
99	tɪ:dʹɩ	taoide	flux			
100	kʷi:nʹ	caoin	charmant			
100	gʷᴇ̈:h	gaoth	vent			
100	mʷᴇ̈:ᵊl	maol	chauve			
100	gɑ:	gádh	bénéfice			
100	mo:ⁱdʹɩ	móide	parole			
100	dᴜ:ⁱlʹ	dúil	désir			
100	rᴇ̈:ᵊbə	raobadh	gratter, déchirer			
100	sᴇ̈:əl	saoghal	ciel			
100	tᴇ̈:ᵊsg̬	taosc	jet			
101	nɪ:ᵊntə	naoidheanta	net, propre			
101	dʹi:ᵊl	díol	vendre			
101	ʃi:əs	síos	en bas	ʃi:s		
101	tʹe:ᵊn	téigheann	il vient			
101	kʷᴇ̈:ᵊχ	caoch	aveugle			
101	gʷᴇ̈:ᵊl	gaol	parenté			
101	kᴜ:	cú	lévrier			
101	glo:r	glór	bruit			
101	o:g	óg	jeune			
101	bɑ:r	barr	sommet			
104	ʃinʹɩ	sine	plus âgé		comp. de ʃαn (sean‑)	
104	ʃαn	sean‑	vieux			
104	tʹinʹɩ	teine	feu			
104	bʹrʹᴇʃ	breis	davantage			
104	kʹᴇlʹtʹ	ceilt	cacher			
104	mʹᴇrʹigʹ	meirg	rouille			
104	gʹatʹɩrʹɩ	geaitiri	petit bâton, margotin			
105	dᴜv	dubh	noir			
105	mᴜk	muc	cochon			
105	brλh	bruth	éruption			
105	bɔg	bog	mou, doux			
105	gɔb	gob	bec	go̤b		
105	rʌd	rud	chose			
105	mɑk	mac	fils			
105	səla·χ	salach	sale	səlaχ		
105	mɑrəv	marbh	mort			
105	sɑlən	salann	sel			
106	tɪlʹɩ	tuile	supplément, surplus			
106	bʷɪlʹɩ	buile	rage			
106	kʷɪrʹɩ	cuire	invitation			
106	sɛvʹɩrʹ	saidhbhir	riche			
106	rɛvʹ	raibh	était			
106	köʃɩ	coise			gén. de kɔs ou ko̤s (cos)	
106	kɔs	cos	pied	ko̤s		
106	löʃg̬ʹɩmʹ	loiscim	je brûle			
106	sg̬o̤lʹ	scoil	école			
106	maʃɩ	maise	bénéfice			
106	banʹi	bainne	lait			
106	fʹi·əkʷɩlʹ	fiacail	dent			
106	dʹαkʷɩrʹ	deacair	difficile			
106	χah	chaith	jeta			
106	rah	rath	chance			
106	röh	roth	roue		gén. rɔhə	
107	bʹïr	bior	pointe			
107	krʹïs	crios		krʹis		
107	krʹïh	crith	tremblement			
107	bʲo̤g	beog	petit			
107	bʹɛrtʹ	beirt	deux personnes			
107	bʹαn	bean	femme			
107	gʹαl	geal	brillant			
107	gʹᴇtʹ	geit	sursaut			
107	gʲλks	giucs	mot, syllabe quel­conque			
107	tʲλv	tiubh	touffu			
107	gʲλlə	giolla	garçon, groom			
107	αrʹɩgʲəd̥	airgead	argent	αrʹigʹəd		
107	taʃtʲəl	taisteal	voyager			
107	bʲəgɑ̃:n	beogán	un peu			
107	kʲəpɑ̃:ntə	ceapánta	contrariant			
107	tʹinʹəs	tinneas	souffrance			
107	hɪgʹəs	thuigeas	je compris			
107	mʷɪ:nʹtʹərhə	muinteardha	familier			
108	tʹᴇ(h)	te	chaud			
108	tɪlʹɩ	tuille	supplément			
108	bɑ(h)	ba			plur. de bo: (bó)	
108	bo:	bó	vache			
108	bɔgə	bogadh	courber, amollir			
109	imʹərtʹ	imirt	jouer			
109	ᴇlʹɩ	eile	autre			
109	αrʹɩ	aire	soin, attention			
109	ɩʃtʹα·χ	isteach	dedans (avec mouvement)			
109	ɪʃg̬ʹɩ	uisge	eau	iʃg̬ɩ		
109	ɛbʹⁱrʹɩ	oibre	de travail		gén.	
109	ödʹəs	oideas	ordonnance	ᴇdʹəs		ɛdʹəs
109	ahɩnʹɩ	aithne	connaissance	αhɩnʹɩ		
110	ᴜχt	ucht	giron			
110	ɔkᵊrəs	ocras	faim	o̤kᵊrəs		
110	ɑrəm	arm	arme			
110	ərɑ̃:n	arán	pain			
110	ïməl	imeall	bordure	λməl		ᴜməl
110	ɩnʲ λmərkə	an iomarcadh	trop			
110	ᴜmərkə			λmərkə	sans l’article	
110	αsb̬ə	easba	manque	ɑsb̬ə		
