Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
121	dɑ:	dá	si				
121	do:	dóghadh	brûler				
121	mɑ:	má	si				
121	mo:	mó	plus grand				
121	da:ⁱlʹ	dáil	parlement				
121	du:ⁱlʹ	dúil	désir				
121	krɑ:	crádh	contrarier				
121	krᴜ:	crúdhagh	traire				
121	sɑ:	sádh	planter				
121	sᴜ:	súghadh	sucer				
121	klo:	cló	apparence				
121	klᴜ:	clú	réputation				
121	po:kə	póca	poche				
121	pᴜ:kə	púca	lutin				
121	ʃe:	sé	il				
121	ʃí:	sí	elle				
121	lʹi:ᵊn	líon	filet				
121	lʹe:ᵊn	léigheann	savoir				
121	l’i:n’	linn	temps				
121	l’e:nʹ	léighinn			gén. de lʹe:ᵊn.		
121	Iᴇ̈:	laogh	veau				
121	lɪ:	luighe	être couché				
121	lɑ:	lá	jour				
121	lᴜ:	lugha	moins				
122	bʹrʹiʃ	bris	démolis !				
122	bʹrʹᴇʃ	breis	davantage				
122	bʹrʹiʃɩ	briseadh	démolir				
122	bʹrʹᴇʃɩ	breise			gén. de bʹrʹᴇʃ		
122	mɑk	mac	fils				
122	mᴜk	muc	cochon				
122	knɑgə	cnagadh	frapper				
122	knᴜgə	cnuga	crâne				
122	gɑl	gal	fumée				
122	gɔl	gol	pleurer				
122	lɔχ	loch	lac				
122	lᴜχ	luch	souris				
122	balʹɩ	baile	hameau				
122	bʷɪlʹɩ	buile	coup				
122	gʹαlə	gealadh	blanchir				
122	gʲλlə	giolla	groom				
122	bʹαrt	beart	action				
122	bʹɛrtʹ	beirt	deux personnes				
123	ɛbʹⁱrʹi:mʹ	oibrighim	je travaille	ɛbʹⁱrʹi:imʹ			
123	lʲᴜ:	liúgh	hurlement	lʲᴜ:ᴜ			
123	gnɑ:χ	gnáthach	usuel	gnɑ:ɑχ			
125	krʹi:ᵊχnɪ:mʹ	críochnuighim	je termine				
125	kʹαnɪ:mʹ	ceannuighim	j’achète				
125	balʹi:mʹ	bailighim	je réunis, je ramasse				
125	kʹαrtᴜ:	ceartughadh	corriger				
125	lɑ:χ	láthach	courtois				
125	mo·rɑ̃:n	mórán	beaucoup				
125	trɑ·nho:nə	tráthnona	soirée				
125	dʹᴇrʹən ʃe·	deireann sé	il dit				316
125	kʷⁱlʲa·χ	cuileach	coq	kʷⁱlʲaχ			
125	bʹᵊnaχt	beannacht	bénédiction				261
125	ɛbʹⁱrʹɩ	oibre			gén. de ɔbʷɩrʹ (obair)		
125	ɔbʷɩrʹ	obair	travail				
126	ɑ:ⁱtʹ	áit	endroit				
126	αtʹ	ait	bizarre				
126	bɑ:s	bás	mort				
126	bɑs	bas	paume				
126	pɑ:ʃtʹɩ	páiste	enfant				
126	paʃtʹɩ	paiste	pièce				
126	kɑ:s	cás	destin				
126	kɑs	cas	tour				
126	kɑ:ⁱtʹ	Cáit	Kate				
126	katʹ	cait			gén. de kɑt (cat)		
126	kɑt	cat	chat				
126	lʹi:nʹɩ	líne	ligne				
126	lʹinʹɩ	linne	avec nous				
126	ʃi:nʹ	sín	étends !				
126	ʃɩnʹ	sin	ci (dém.)				
126	mʹi:n	min	délicat				
126	mʹinʹ	min	farine				
126	hʹi:lʹ ʃe·	shíl sé	il pensa				
126	hʹilʹ ʃe·	shil sé	il répandit				
126	kʷɪ:rʹɩ	caoire	moutons				
126	kʷɪrʹɩ	cuire	invitation				
126	gᴜ:nə	gúna	robe				
126	gᴜnə	guna	fusil				
126	ro:pə	rópa	corde				
126	rɔpə	ropadh	arracher				
126	mo:	mó	plus grand				
126	mo	mo	mon				
126	so:lɑ:s	sólás	consolation				
126	sɔləs	solas	lumière				
126	ʃo:	seó	plaisanterie				
126	ʃo	seo	là (dém.)				
127	nahər nʹɪ̃:	nathair nimhe	serpent venimeux				
127	rᴜ̃:m	romham	devant moi				
128	nõ:s	nós	coutume				
128	mᴜ̃·ər	mór	grand				
128	nə mnɑ̃:	na mná	les femmes				
128	ᴀ̃ᴜ̃nlən	annlan	assaisonnement				
128	sgᴀ̃ᴜ̃nrə	scannradh	terreur				
128	ʃõ:mrə	seomra	chambre				
128	lɪ̃ŋʹgʹəs	luingeas	flotte				
128	banʹɩ	bainne	lait				
128	ᴀ̃ᴜ̃rəs	amhras	doute				
128	ᴀ̃ᴜ̃lɩgʹ	amhlaidh	vraisemblable				
128	dᴀ̃ᴜ̃n	domhan	monde				
128	kõ:rsə	comharsa	voisin				
128	snɑ̃:ṽ	snámh	nage				
128	sɑ̃:ṽ	sàmh	tranquille				
128	ganʹĩ:	gainimhe			gén. de ganʲə̃ṽ (gaineamh)		
128	ganʲə̃ṽ	gaineamh	sable				
128	kõ:lə	comhla	battant de porte				
128	kõ:lᴜ·ədər	comhluadar	commerce, intimité				
128	kᴜ̃:ŋg	cumhang	étroit				
129	lɑ:	lá	jour				
129	lɑ̃	lámha			plur. de lɑ̃:v (lámh)		
129	lɑ̃:v	lámh	main				
129	rɑ:	rádh	dire				
129	madʹɩ rɑ̃:	maide rámha	rame				
129	dʹi:ʃ	dís	deux personnes				
129	dĩ:ʃ	deimhis	tondeuse à moutons				
