Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section	Negative e.g.	Fix
283	gnʹi:ᵊv	gníomh	action						
283	agʹɩnʹɩ	aigne	esprit					αgʹnʹɩ	
283	hrɑ:ⁱgʹ	thráigh	se retira (en parlant du flux)						
283	kɑhərəχ	cathrach			gén. de kahɩrʹ (cathair)			kɑhrəχ	
283	kahɩrʹ	cathair	ville						
283	χrɑ:ⁱʃ	chrádhais	tu contrarias						
283	ɑχərən	achrann	confusion					ɑχrən	
287	fʹëimʹənəs 	feidhmeanas	emploi 	ëimʹənəs 					
287	ɩ vʹëimʹənəs	i bhfeidh­meanas	occupé, employé	ɩ nʹëimʹənəs					
287	sɑχəs	seachas	outre	ʃαχəs					
287	sʌrə	sara	avant que	ʃαrə					
287	sɪ:lʹɩmʹ	sílim	je pense	ʃi:lʹɩmʹ					
287	tʲλkʷɩgʹ	tiocfaidh	viendra	tᴜkʷɩgʹ					
287	tʹitʹɩmʹ	tuitim	tomber	tɪtʹɩmʹ					
287	sg̬ʷɪ:lʹɩmʹ	sgaoilim	je libère	ʃg̬ʹi:lʹɩmʹ					
287	drɪdʹɩmʹ	druidim	je me mets en mouvement	dʹrʹidʹɩmʹ					
287	klʹïsmərtʹ	cliosmairt	discussion, chahut	glʹïsmərtʹ					
287	kʲλtə	giota	morceau	gʲλtə					
287	pʷɪ:hɩrʹəχt	faoithireacht	huer	fʷɪ:hɩrʹəχt					
287	tʹrʹɑ̃mpəlɑ̃:n	treampalán	sorte de bourdon	pʹrʹɑ̃mpəlɑ̃:n					
