Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
165	kʲu:ⁱnʹ	ciúin	tranquille				
165	kʹɩnʲu:ⁱnʹtʹ	cineamhaint	accident, fatalité				
165	dʹɩlʲu:ⁱrʹ	duilleabhair			gén. de dʹɩlʲᴜ:r (duilleabhar)		
165	dʹɩlʲᴜ:r	duilleabhar	feuillage				
165	fʷɩnʲu:ⁱlʹ	fuinneamhail	diligent				
165	ɩlʲu:ⁱnʹtʹ	oileamhaint	éducation				
165	dəm(ʷ) ɩnʲu:ⁱnʹ	dom ineôin	malgré moi				
165	ɩrʲu:ⁱnʹtʹ	oireamhaint	ustensile				
165	lʹᴇʃg̬ʲu:ⁱlʹ	leisceamhail	paresseux				
165	saidʲu:ⁱr	saighdiúir	soldat				
165	ʃʲu:ⁱlʹ	siubhail			gén. de ʃʲᴜ:l (siubhal)		
165	ʃʲᴜ:l	siubhal	marche				
165	sɪmʲu:ⁱlʹ	suimeamhail	qui a des égards				
165	sən ᴜ:ⁱrʹ	san iùir	dans la terre	sɩnʲ u:ⁱrʹ			
166	bᴜn	bun	fond				
166	kᴜməs	cumas	pouvoir				
166	kᴜmə	cuma	façon				
166	dᴜv	dubh	noir				
166	gᴜnə	guna	fusil				
166	lᴜχt	lucht	gens				
166	lᴜχ	luch	souris				
166	mᴜstər	mustar	orgueil		cf. l’expression proverbiale mᴜstar gɑ̃n gᴜstəl (mustar gan gustal)		
166	mᴜstar gɑ̃n gᴜstəl	mustar gan gustal	tout fier et sans le sou				
166	pᴜs	pus	moue				
166	tᴜr	tur	rassis				
166	tᴜgʷɩmʹ	tugaim	je donne				
166	ᴜrlɑ:r	urlár	plancher				
166	ᴜmlɑ̃:n	umlán	entier				
166	ᴜχt	ucht	poitrine				
166	tʲᴜv	tiubh	touffu				
166	ɩnʲᴜv	indiu	aujourd’hui	ɩnʲλv			
167	ɩnʲλməd	an iomad	une grande quantité	ən ᴜməd			
167	ᴜmədu:ⁱlʹ	iomadamhail	abondant				
167	ɩnʲ λmərkə	an iomarcadh	trop	ən ᴜmərkə			
167	go hᴜmərkəχ	go hiomarcach	de grand cœur				
167	λnəs	ionas	façon d’être	ᴜnəs			
167	ɩ nʲλnəs	i n‑ionas	de façon…				
167	ᴜməl	imeall	bordure				
167	ə nᴜməl	i n‑imeall	à côté de	ɩ nʲλməl			
167	tᵊrᴜs	turus	voyage	tᵊrʌs			
167	knᴜk	cnoc	colline	kno̤k			
