Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
213	tnɑ̃:hɩmʹ	tnáthaim	je fatigue				
213	tlɑ:h	tláth	aimable, courtois				
215	pʹrʹαb	preab	sursaut				
215	srɑ:ⁱdʹ	sráid	rue				
215	flahʹ	flaith	prince				
215	ɩ mʹlʹi·ənə	i mbliadhna	cette année				
215	ǥɑ: χlᴜ·ɛʃ	dhá chluais	deux oreilles				
215	də hlɑ̃:ⁱnʹtʹɩ	do shláinte	ta santé				
215	knɑ̃:v	cnámh	os				
215	gno:	gnó	affaire				
215	mnɑ̃:	mná			gén. et plur. de bʹαn (bean)		
215	bʹαn	bean	femme				
215	ʃnʹi:ᵊv	sníomh	filer				
215	do ǥno:	do ghnó	ton affaire				
215	ɑnəhnɑ̃:v	anashnámh	nage impeccable				
215	smʹɩgʹi:nʹ	smigín	menton				
215	stɑdɩmʹ	stadaim	j’arrête				
216	sb̬ʹrʹλk	spriuc	but, point de repère				
216	stʹrʹi:ᵊpəχ	stríopach	putain	ʃtʹrʹi:ᵊpəχ			
216	sg̬raʃtʹɩ	scraiste	vaurien				
216	sb̬lᴀᴜŋk	splannc	éclair				
217	kɔrp	corp	corps				
217	kʹαrt	ceart	droit				
217	kʹᴇlʹtʹ	ceilt	cacher				
217	kʹαrk	cearc	poule				
217	kʹirʹkʹ	circ			dat. du même mot		
217	kalʹkʹ	cailc	craie				
217	kʲɑ:rd	ceárd	métier				
217	sg̬ɑrf	scarf	écharpe				
218	kainʹtʹ	cainnt	parler				
218	bᴀᴜŋk	bannc	banc (de poisson)		gén. bʷi:ŋʹkʹ (bainnc)		
218	bʷi:ŋʹkʹ	bainnc					
218	ʃrʹaᴜ̃ŋg	sreang	corde				
219	bɔχt	bocht	pauvre				
219	bɔχtʹ	boicht			gén. du même		
219	ərɪ:ʃtʹ	arís	de nouveau				
219	i·əsg̬	iasc	poisson		gén. e:ʃg̬ʹ (éisc)		
219	ʃᴇfʹtʹ	seift	expédient				
220	ʃαns	seanns	chance				
220	gʲλks	giucs	un mot, une syllabe, un bruit quelconque				
220	dʲλks	diucs	forme substituée au nom du diable dans les jurons				
220	mαtʹʃ	match	allumette				
221	ɑlpə	alpadh	avaler				
221	kʹαrtᴜ:	ceartughadh	corriger				
221	kʹirʹkʹɩ	circe			gén. de kʹαrk (cearc)		
221	kʹαrk	cearc	poule				
221	gᴀᴜldə	gallda	étranger				
221	pʹαrsəntə	pearsanta	personnel				
221	dʹi:lʹʃɩ	dílse			comp. de dʹi:lʹɩʃ (dîlis)		
221	dʹi:lʹɩʃ	dílis	cher				
221	tʹi·ərnə	tighearna	seigneur				
221	mì:arnɑ:ⁱlʹ	méarnail	tâtonner				
221	fʹi:lʹhɩ ʃe·	fillfidh sé	il rentrera				
221	dʹi·ərhɩgʹ	d’fhiafruigh	il demanda				
221	bo:ⁱrʹhɩ	bóirthe			plur. de bo:hər (bóthar)		
221	bo:hər	bóthar	chemin				
221	kʹαrhᴜ:	ceathramhadh	quatrième	kʹαhərᴜ:			
222	mʷᴇ̈:rgᴜ:ⁱlʹ	maordhamhail	élégant, majes­tueux				
222	i·ərgᴜ:ltə	iargcúlta	retiré, solitaire (en parlant d’un lieu)				
222	tʹi:ᵊrgɑ:ⁱlʹtʹ	tíorgáil	se préparer à, méditer				
222	dᴜ·əlgəs	dualgas	obligation				
222	mɑrəgə	margadh	marché				
222	tʹe:ᵊrmə	téarma	terme				
222	fɔrəməd	formad	envie				
222	hʹi:lʹfʷi:	shilfí	on croirait				
222	mɔlfər	molfar	on louera				
222	gʲɑ:rfər	gearrfar	on coupera				
222	kʷɪrʹfər	cuirfear	on placera				
222	dʹαrəfə	dearbhtha	certain				
222	bʹì:alvəχ	béalbhach	mors				
222	kʹi·əlvər	ciallmhar	raisonnable				
222	kʲo:lvər	ceólmhar	gai				
222	ʃαləvᴜ:	sealbhughadh	posséder				
222	kʷᴇ̈:ᵊlχʷɪdʹ	caolchuid	partie aveugle (mot composé)				
222	gʹαləχɑ̃:n	gealachán	blanc d’œuf				
223	bʹì:arlə	béarla	langue anglaise				
223	kʹi:ᵊrlɑ:ⁱlʹ	cíorláil	bouleverser				
223	kõ:rlʹɩ	comhairle	conseil				
223	ʃi:ᵊlrᴜ:	síolrughadh	planter	ʃi:ᵊlᵊrᴜ:			
224	bʷɪ:mʹpʹe:ʃ	buímpéis	bas				
224	bᴀᴜmbərnʹɩ	bambairne	gros bonhomme				
224	kainʹtʹəχ	cainnteach	causeur, sociable				
224	kᴀᴜndᴇ̈:	conndae	comté				
224	lᴀ̃ᴜ̃ŋkɑ̃:n	lamhancán	marcher à quatre pattes				
224	kʹα̃ŋgəl	ceangal	lien				
224	blᴀɪᵊmsəχ	bladhmsach	flambée				
224	αimʹʃɩrʹ	aimsir	temps				
224	kʲaᴜnsə	ceannsa	aimable				
224	pʹinʹʃʲλn	pinsion	pension				
224	lʹe:mʹfər	léimfear	on sautera				
224	lʹi:ᵊnfər	líonfar	on remplira				
224	anʹhi:m	aithnighim	je reconnais		mais αhʹɩnʹɩ, cf. § 231 et 282		
224	trɑ:nho:nə	tráthnóna	soirée				
224	dʹi·ənvah	dianmhaith	extrêmement bien				
224	ɑnəvah	anamhaith			de ɑn et mah		
224	fɔnəvər	fonnmhar	désireux				
224	ʃαnəvʹαn	seanbhean	vieille femme				
224	ʃαndɪnʹɩ	seanduine	vieillard				
225	brᴜχtɪ:ᵊl	bruchtuíol	vomir				
