Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section	Negative e.g.	Fix
279	bʹⁱlʲo:g	billeóg	feuille						
279	blah	boladh	parfum						
279	flɑ:ⁱnʹ	folláin	sain						
279	klɑ:ʃtʹɩ	coláiste	collège	kᵊlɑ:ʃtʹɩ					
279	kᵊlʹα·χ	cailleach	vieille femme						
279	kᵊlʲɑ:n	coileán	chiot						
279	kᵊlʹαχtə	cuileachta	compagnie						
279	mᵊlaχt	mallacht	malédiction						
279	pro:ⁱʃtʹɩ	paroiste	paroisse	pᵊro:ⁱʃtʹɩ					
279	gʹⁱrʹɑ̃:n	gearán	plainte						
279	bʹⁱrʹɑ̃:n	biorán	pointe	bʹrʹɑ̃:n					
279	gʹⁱrʹαχt	giorracht	proximité						
279	krɑ:ʃtʹɩ	coráiste	courage	kᵊrɑ:ʃtʹɩ					
279	fʹrʹiʃtʹɩ	fuiriste	facile						
279	trʌs	turus	voyage						
279	tʹⁱrʹimʹ	tirim	sec						
279	gvɑ:ⁱlʹtʹ	gabháil	obtenir						
279	bʹᵊnaχt	beannacht	bénédiction						
279	tᵊmɑ̃:ⁱnʹtʹ	tiomáint	conduire (une voiture)						
279	mʹⁱnʲɑ:l	muineál	cou						
279	χnᴜk	chonnac	je vis						
279	fᵊnaχt	fanacht	demeurer						
279	fʹⁱnʲo:g	fuinneóg	fenêtre	fʹɩnʲo:g					
280	ə trɑ̃:n	an t‑arán	le pain		pour ən tərɑ:n				
280	ɩ tʹⁱraχ	an t‑earrach	le printemps						
280	rʲᴜ:nəχ	oireamhnach	convenable	ɩrʲᴜ:nəχ					
280	nʲo:səd	inneósad	je dirai	ɩnʲo:səd					
280	kᵊlʹα·χ				le génitif du même mot kalʹi: et le dérivé kalʹi:nʹ (cailín)				
280	kalʹi:								
280	kalʹi:nʹ	cailín	jeune fille						
281	pərˈʃα·χ	praiseach	gruau d’avoine		dat. ˈpraʃɩgʹ (praisigh)			prˈʃα·χ	
281	ˈpraʃɩgʹ	praisigh							
281	bərˈdaχ	bradach	voleur, chipeur	brəˈdaχ	gén. ˈbrɑdɩgʹ (bradaigh)				
281	ˈbrɑdɩgʹ	bradaigh		ˈbrɑdɩgʹ					
281	bərˈdɑ̃:n	bradán	saumon						
281	bərˈla·χ	brollach	giron						
281	bərˈka·χ	brocach	sale	brəˈka·χ					
282	kʹαhərər	ceathrar	quatre personnes						
282	kʹαrhᴜ:	ceathramha	quart	kʹαhərᴜ:					
282	kɔrhəm	cothrom	commodité						
