Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section	Negative e.g.	Fix	Standard	Modern	Modern, pronounced as
260	ˈsɔləs	solas	lumière									
260	ˈanʹɩmʹ	ainm	nom									
260	ɩ'nʹαs	andeas	qui vient du Sud							aneas		
260	ɩˈnʲλv	indiubh	aujourd’hui							inniu	inniubh	
260	ɩˈʃtʹα·χ	isteach	dans (avec mouvement)									
260	ɩˈʃtʹigʹ	istigh	dans (sans mouvement)									
260	ɩˈmʹαsg̬	ameasc	parmi							i measc		
260	əˈnɪʃ	anois	maintenant									
261	bəˈka·χ	bacach	boiteux									
261	səˈla·χ	salach	sale									
261	kᵊˈlʲα·χ	cailleach	vieille femme									
261	pərˈʃα·χ	pairseach	porridge							praiseach		
261	pərˈta·χ	portach	marais, tourbière									
261	məˈlaχt	mallacht	malédiction									
261	gʹɩˈra·χt	giorracht	proximité									
261	məˈlaχtu:						268					
261	ˈkʹαhəχ	ceathach	pluvieux									
261	ˈfɑhəχ	fathach	géant									
261	ˈsɑhəχ	sathach	récipient							soitheach		sathach
261	ˈɔkᵊrəχ	ocrach	affamé									
261	ˈködʹⁱrʹəχ	coidreach	sociable							caidreamhach	caidreach	
261	ˈlasᵊrəχ	lasrach	éclair									
261	ˈfʹαmənəχ	feamnach	goémon							feamainn	feamnach	
261	ˈdʹαləgəχ	dealgach	épineux							deilgneach	dealgach	
261	ˈbro:nəχ	brónach	triste									
261	ˈe:ʃtʹəχt	éisteacht	se taire				263					
262	bᵊˈlah	boladh	odeur	ˈblah								
262	kᵊˈlöh	culaith	costume	ˈklöh								
262	kᵊˈnʌs	connus	comment	ˈkɔnəs						conas		
262	ˈχnᴜk	chonnac	je vis							chonaic mé	chonac	
262	ˈχnɪkʹ	chonnaic	il vit							chonaic		
262	ˈχnɔkədər	chonnacadar	ils virent							chonaiceadar	chonacadar	
262	təˈrʌs	turus	voyage	ˈtrʌs						turas		
262	tʹⁱˈrʹimʹ	tirim	sec	ˈtʹrʹimʹ								
262	mʹɩˈnʹikʹ	minic	souvent									
262	sb̬ʹⁱˈrʹidʹ	spioraid	esprit									
262	ɛg	ag	à									
262	əˈgɑm	agam	à moi									
262	əˈgɑt	agat	à toi									
262	ɩˈgʹɛ	aige	à lui									
262	ɩˈkʹi	aici	à elle									
262	əˈgʷɪnʹ	againn	à nous									
262	əˈgʷɪvʹ	agaibh	à vous									
262	əˈkɑ	aca	à eux							acu		
263	kʹe:lʹɩ	céile	compagnon, mari						ˈkʹe:lʹɩ			
264	ˌᴜ:ˈrɑ̃:n	amhrán	chant	ˌᴜ·ˈrɑ̃:n								
264	ˌëiˈrʹi:	eirighe	se lever							éirí		
264	ˌmo·ˈrɑ̃:n	mórán	beaucoup									
265	kaˈlʹi:nʹ	cailín	jeune fille									
266	ˈkʹαpəhə	ceapaighthe	compris							ceapaithe		
266	ˈhigədər	thuigeadar	ils comprirent									
266	ˈbɑgərhəχ	bagarthach	menaçant							bagrach	bagarthach	
266	kʷɪˈdʹαχtə	cuideachta	compagnie		comme məˈlaχt							
266	kəˈsaχtəχ	casachtach	toux									
266	ˈtᴜ:ləkʷɩmʹ	tionnlacaim	j’accompagne							tionlacaim		
267	təˈmɑ:ⁱnʹɩmʹ	tiomáinim	je conduis (une voiture)									
268	ˌɑməˈdɑ̃:n	amadán	idiot									
268	ˌpɔtəˈχɑ̃:n	potachán	lapereau									
268	kʷɩˈdʹαχˌtᴜ:ⁱlʹ	cuideachteamhail	sociable							cuideachtúil		
268	məˈlaχˌtᴜ:	mallachtughadh	maudire		comme kʷɩˈdʹαχtə et mᵊˈlaχt					mallachtú		
269	ˌklᴜəˈsɪ:ᵊχt	cluasuíocht	chuchoter							cluasaíocht		
269	ˌbɑ:ˈdo:ⁱrʹəχt	bádóireacht	se promener en barque	bɑˈdo:ⁱrʹəχt								
270	αʃˌtʹrʹᴜ:ˈχɑ̃:n	aistriuchán	traduction							aistriúchán		
270	kaˈlʹi:ˌnʹi:	cailíní			plur. de kaˈlʹi:nʹ (cailín)							
270	kaˈlʹi:nʹ	cailín	jeune fille									
270	dalʹˈtʹi:ˌnʹi:	dailtíní			de dalʹˈtʹi:nʹ (dailtín)							
270	dalʹˈtʹi:nʹ	dailtín	personne contrariante									
271	ˈbʹrʹo:tʹəˈχɑ̃:n	breóiteachán	personne maladive							breoiteachán		
271	ˈo:lɩˌmʹi:ʃtʹ	ólaimís	nous avions coutume de boire							ólaimis		
272	trɑ:nˈho:ⁱnʹˌtʹi:	tráthnóintí	soirées							tráthnónta	tráthnóintí	
273	ˌstrɑpəˈdo:ⁱrʹəχt	strapadóireacht	escalade							dreapadóireacht	strapadóireacht	
273	kʷɩˌdʹαχtəˈnᴜ:ⁱlʹ	cuideachtanamhail	sociable									
273	χəmʲɑ:dɩˌdʹi:ʃtʹ	choimeádaidís	ils avaient coutume de garder									
273	ˈmɑ:hɩrʹᵊχə	máithreacha			plur. de mɑ:hɩrʹ (máthair)							
273	mɑ:hɩrʹ	máthair	mère									
273	ˈfɔhərəgə	fothragadh	hâte, affolement									
274	ˌstrapəˈdo:ⁱrʹəχtə	strapadóireachta			gén. de ˌstrɑpəˈdo:ⁱrʹəχt					dreapadóireachta	strapadóireachta	
275	ˈɑnəˌjαs	ana-dheas	très joli							an-deas	an-dheas	
275	ˈɑnəˌvʲo̤g	ana-bheag	très petit							an-bheag		
275	ˌαnəˈvᴜ·ər	ana-mhór	très grand							an-mhór		
275	ˈɑnəˌvʹαn	ana-bhean	une excellente femme							an-bhean		
275	ˌɑnə-ˈhlɑ̃:ⁱnʹtʹɩ	ana-shláinte	une excellente santé							an-shláinte		
275	ˈnʹαˌhɔkʷɩrʹ	neamh-shocair	agité							neamhshocair		
275	ˌnʹαˈmʷᴇ̈:ᵊχ	neamh-bhuidheach	ingrat							neamhbhuíoch		
275	ˈdʹαrəgˌvadʹɩnʹ	dearg-mhaidin	le petit jour		litt. « l’aube rouge »					deargmhaidin		
275	ˌdʹαrəgˈnɑ:ⁱrʹɩ	dearg-náire	grand honte		litt. « honte rouge»					deargnáire		
275	ˈʃαnˌdɪnʹɩ	seanduine	vieillard									
275	ˈʃαnəˌvʹαn	seanabhean	vieille femme							seanbhean		
275	ˌʃαnəˈvro:g	seana-bhróg	vieux soulier, histoire rebattue							seanbhróg		
275	ˈlʹαˌχᴜmə	leathchuma	partialité									
275	ˌlʹαˈʃg̬ʹì:al	leathsgéal	excuse							leithscéal		
276	ˈmʹi:ˌvlɑs	mí-bhlas	mauvais goût							míbhlas		
276	ˌmʹi·ˈǥlʹì:as	mí-ghléas ghléas	mauvais état de fonctionnement							míghléas		
276	ˌmʹi·ˈnɑ:ⁱrʹəχ	mí-náireach	éhonté							mínáireach		
276	ˌdʹi·ˈkʹe:lʹɩ	díthcéille	folie							díth céille		
276	ˌkwᴇ̈:ᵊχrᴜ·ə	caoch-ruadh	maladie des pommes de terre							caoch rua		
276	ˌlᴀᴜmˈᴇ̈:stə	lom-aosta	d’un certain âge							lomaosta		
276	ˌᴀᴜnˈro:	annró	catastrophe							anró		
276	ˌro:ˈᴇ̈:stə	ro-aosta	trop âgé							ró-aosta		
276	ˈrɪ:ˌvah	rí-mhaith	excellent							rímhaith		
276	ˈkʷᴇ̈:ᵊlˌχʷɩdʹ	caol-chuid	toute petite partie							caolchuid		
276	ˈdʹi·ənˌvah	dian-mhaith	excellent							dianmhaith		
276	ˈlᴀᴜmˌçαrt	lom-cheart	droit strict							lomcheart		
276	ˈro:ˌjαl	ro-gheal	trop brillant							rógheal		
276	ˈᴀᴜnˌçαrt	anncheart	injustice							aincheart		anncheart
277	ˌbᴜnöʃˈg̬ʲᴜ:n	bun ós cionn	cul pardessus tête							bunoscionn		
277	ˌdʌləvᵊˈla·χ	dul-í-bhfolach	cache-cache							dul i bhfolach		
277	ˌkʹimʹɩləˈvɑ:ⁱlʹi·nʹ	címil an mháilín	tiraillement, tracassement							cuimil an mháilín	cimil an mháilín	
