Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section
195	bainʹtʹⁱrʹəχ	baintreach	veuve				
195	kainʹtʹ	cainnt	conversation				
195	kailʹtʹɩ	caillte	perdu				
195	klairʹɩ	cladhaire	coquin				
195	maidʹən	maighdean	vierge				
195	dainʹ	doimhin	profond				
195	failʹ	faill	falaise				
195	faimʹ	faighim	j’obtiens				
195	rainʹtʹ	rainnt	partager				
195	rairʹkʹ	radhairc			gén. de rᴀɪᵊrk (voir § suivant)		
195	stairʹɩ	staidhre	escalier				
195	saidʲu:ⁱrʹ	saighdiúir	soldat				
195	sainʹtʹ	sainnt	avidité				
195	taiʃɩ	taidhse	apparition				
195	sailʹʃu:	soillsiughadh	resplendir				
195	aimʹʃɩrʹ	aimsir	temps				
195	aigʹ	aghaidh	visage				
195	ainʹtʹɩ	aibhnte			plur. de aλⁱnʹ (abhainn)		
195	aλⁱnʹ	abhainn	rivière				
195	ainʹlʲᴜ:	aidhnliughadh	louvoyer sur place				
195	aimʹ	aidhm	penchant, inclination				
195	airʹkʹɩ	adhairce			gén. de ᴀɪᵊrk (voir § suivant).		
195	nə hαinʹtʹɩ	na haibhnte	les rivières				
195	ə hαigʹ	a Thaidhg		ə häigʹ	vocatif à l’initiale modifiée de tᴀɪᵊg (Tadhg), nom d’homme, en face du génitif non modifié : Taigʹ (Taidhg)		
195	hαigʹ	Thaidhg		häigʹ	génitif à l’initiale modifiée de tᴀɪᵊg (Tadhg), nom d’homme, en face du génitif non modifié : Taigʹ (Taidhg)		
195	Taigʹ	Taidhg					
196	fᴀɪᵊn	faigheann	(il) obtient				
196	gᴀɪᵊr	gadhar	chien				
196	lᴀɪᵊro:g	ladharóg					
196	lᴀɪᵊr	ladhar	fourche des doigts				
196	rᴀɪᵊrk	radharc	regard				
196	rᴀɪᵊd	raghad	j’irai	rɑjəd		rᴀɪəd	
196	slᴀɪᵊdɑ̃:n	slaghdán	rhume	slᴇ̈:dɑ̃:n			
196	tᴀɪᵊg	Tadhg			nom d’homme		
196	ᴀɪᵊrk	adharc	corne	ɑɪᵊrk			
196	ᴀɪᵊməd	adhmad	bois	ɑɪᵊməd			
196	ᴀɪᵊrtə	adharta	manteau de la cheminée	ɑɪᵊrtə			
196	ᴀɪᵊn	adhann	chaudron	ɑɪᵊn			
196	nᴀɪᵊvo:g	naomhóg	barque	nᴇ̈:vo:g			
197	ëirʹi:	eirighe	se lever				
197	grʹëinʹ	greidhin	terme d’affection				
197	grʹëimʹ	greim	prise				
197	lʹëiʃ	leighis			gén. de lʹaɪᵊs (leigheas)		
197	lʹaɪᵊs	leigheas	remède				
197	lʹëikʹɩdʹɩ	leidhcide	chose, personne, bonne à rien				
197	lʹëibʹɩ	leidhbe			gén. de lʹäɪᵊb (leadhb)		
197	lʹäɪᵊb	leadhb	bout, chiffon d’où langue				
197	mʹëigʹ	meidhg	mélange de lait frais et de lait caillé				
197	mʹëirʹ	meidhir	gaîté				
197	ɩ vʹëimʹ	i bhfeidhm	au pouvoir de				
197	ɩ vʹëilʹ	i bhfeighil	pour, en vue de				
197	tʹëinʹ	tinn	douloureux				
198	lʹäɪᵊb	leadhb	bout, langue				
198	lʹäɪᵊbo:g	leadhbóg			dans lʹäɪᵊbo:g ᴜ:ⁱnʹʃi: (leadhbóg óinsighe)		
198	lʹäɪᵊbo:g ᴜ:ⁱnʹʃi:	leadhbóg óinsighe	sotte fainéante				
198	lʲäɪᵊs	leigheas	remède	lʲäɪs			
198	tʹrʹäɪᵊdɑ̃:n	treaghdán	pou				
199	ᴀᴜ	abha	rivière		cf. do:lhəχ ʃe ən ᴀᴜ (d’ólfadh sé an abha)		
