Section	Phonetic	Irish	French	Alt1	Gram. note	Alt2	See section	
132	bʹrʹiʃɩmʹ	brisim	je brise					
132	dʹilʹəsg	duileasc	algue comestible					
132	fʹihɩ	fiche	vingt					
132	fʹirʹən	fireann	mâle					
132	ihɩ	ithe	manger					
132	glʹikʹ	glic	adroit					
132	kʹibʹəl	cibeal	discussion					
132	mʹilʹɩmʹ	millim	je détruis					
132	mʹiʃnʹɩgʹ	misnigh			gén. de mʹiʃnʹα·χ (misneach)			
132	mʹiʃnʹα·χ	misneach	courage					
132	ʃinʹɩ	sine			comp. de ʃαn (sean)			
132	ʃαn	sean	vieux					
132	tʹigʹ	tigh	maison					
133	ilʹɩ	uile	tout	ɪlʹɩ				
133	iʃg̬ʹɩ	uisce	eau	ɪʃg̬ʹɩ				
133	ivʹɩrʹ	uimhir	nombre, numéro	ɪvʹɩrʹ				
133	iʃɩnʹ	uisin	tempe	ɪʃɩnʹ				
133	sɪmʹɩ	suime		simʹɩ	gén. de sɪ:mʹ (suim)			
133	sɪ:mʹ	suim	considération					
133	sɪgʹ	suidh	assieds-toi !	sigʹ				
133	tigʹɩmʹ	tuigim	je comprends	tɪgʹimʹ				
133	higʹ ʃe·	shuidh sé	il s’assit	hɪgʹ ʃe·				
133	higʹ ʃe·	thuig sé	il comprit	hɪgʹ ʃe·				
133	fʹikʹɩmʹ	feicim	je vois	fʹᴇkʹɩmʹ				
133	lʹitʹɩrʹ	leitir	lettre	lʹᴇtʹɩrʹ				
133	lʹᴇgʹlmʹ	leigim	je laisse	lʹigʹɩmʹ				
133	dʹᴇnʹɩmʹ	deinim	je fais	dʹinʹɩmʹ				
134	bʹi:nʹ	binn	mélodieux					
134	bʹi:ᵊgənəχ	bíoganach	petit					
134	dʹi:rʹəχ	díreach	droit					
134	dʹi:lʹɩʃ	dílis	cher					
134	dʹi:ᵊl	díol	vendre					
134	fatʹi:ᵊs	faitchíos	timidité					
134	fʹi:rʹɩnʹɩ	fírinne	vérité					
134	i:mʹ	im	beurre					
134	i:nʹʃɩmʹ	innsim	je dis					
134	i:lʹəs	aimhleas	dommage					
134	i:hɩ	oidhche	nuit					
134	i:	uibhe	œufs					
134	ɩnʹi:ᵊn	inghean	fille					
134	i:ʃəl	íseal	bas					
134	i:(ᵊ)tə	íota	soif					
134	kʹi:ʃtʹɩ	císte	gâteau					
134	gʹi:rʹɩ	geimhreadh	hiver					
134	ɑnərʹi:nʹ	anarighin	très coriace					
134	tʹi:rʹ	tír	pays		plur. tʹi:(ᵊ)rhə (tíortha)			
134	tʹi:(ᵊ)rhə	tíortha						
134	ɑ:ⁱtʹi:mʹ	áitighim	je discute					
